content,publishtime,area,majorpollutant,forecastdate,aqi,minorpollutant,minorpollutantaqi
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",雲嘉南,細懸浮微粒,2025-02-13,80,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",金門,細懸浮微粒,2025-02-14,90,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",金門,細懸浮微粒,2025-02-13,90,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",雲嘉南,細懸浮微粒,2025-02-12,85,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",北部,細懸浮微粒,2025-02-12,60,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",竹苗,細懸浮微粒,2025-02-13,60,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",竹苗,細懸浮微粒,2025-02-14,60,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",竹苗,細懸浮微粒,2025-02-11,60,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",中部,細懸浮微粒,2025-02-11,100,,
"今（10）日環境風場為東北風至偏東風，中南部擴散條件稍差，污染物稍易累積。依18時監測結果，竹苗、宜蘭、花東空品區及澎湖為「良好」等級；北部、中部、雲嘉南、高屏空品區及馬祖、金門為「普通」等級。
依監測資料及氣象署10日18時氣象資料顯示：11日高壓迴流，環境風場為偏東風，西半部擴散條件差，污染物易累積；清晨馬祖及臺中至臺南、晚間金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區及澎湖為「良好」等級；北部、竹苗、中部空品區及馬祖、金門為「普通」等級，中部空品區短時間可能達橘色提醒等級；雲嘉南、高屏空品區為「橘色提醒」等級。
12日鋒面接近及南方雲系北移，環境風場為偏東風至東南風，西半部擴散條件差，污染物稍易累積；金門、馬祖及臺中以北易有低雲或局部霧影響能見度。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級。
13日鋒面通過及東北季風增強，環境風場為東北風，東北風可能挾帶微量境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，南部位於下風處，污染物稍易累積。宜蘭、花東空品區為「良好」等級；北部、竹苗、中部、雲嘉南、高屏空品區及金門、澎湖為「普通」等級；馬祖為「橘色提醒」等級。
未來一週，11日至12日環境風場為偏東風至東南風，西半部擴散條件差，污染物易累積；13日至14日鋒面通過及東北季風影響，東北風可能挾帶境外污染物影響臺灣及離島，影響程度視降雨情況及上游污染物累積而有所變化，中南部污染物易累積；15日另一鋒面通過，環境風場轉為偏東風，西半部污染物易累積；16日東北季風再增強或大陸冷氣團南下，環境風場為東北風，中南部污染物稍易累積。空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。","2025-02-10 22:00",竹苗,細懸浮微粒,2025-02-12,65,,
